@relation finished-data
@attribute tweets string
@attribute feeling{Negative,Positive}

@data
'Ne güzel þey seni sevmek,Fenerbahçeliyim demek 108 yýllýk geçmiþin kutlu olsun sevgilim efsane108yasýnda',Positive
'Hep Voleybol oyniyan bir sevgilim olsun istemiþimdir amk',Positive
'hahshsha dimi sevgilim gösterip vermediler ????',Positive
'Tükkaný açtým iki adam geldi nerdesin kaç saattir bekliyoruz diyo aq sanki sevgilim göt lalesine bak ya pazar lan bu gün',Positive
'Sevgilim diye demiyorum, hiç yoktur kendisi.',Negative
'ya bi insan kasýmpaþam benim biricik sevgilim nasýl diyebilir ya ahahahhah',Positive
'Sanýrým sevgilim uykusunda öldü helva yapmayý bilen varmý',Positive
'yalanmýþ tüm gerçek bildigim. bir damlaymýþ dünyalar dedigim. . . denizler götürse göz yaþýmý anlarmý sevgilim dedigim',Positive
'yýllar önce hayalet sevgilim diye bi þarký vardý,sevdiðim son türkçe þarkýydý aq',Negative
'Sevgilim benden ayrilcak ve ben ona bisey demicem susucam süt dokmus kedi gibi heeeee yöðh yöeee agzina sicarim onun valla yok oyle bi dunya',Negative
'Sevgilim snapchat istanbul storyde huehue',Negative
'En son gta vice cityde sevgilim olmuþtu. Onuda yanlýþlýkla ezmiþtim.',Positive
'ayrýca sevmek aþamalý bir olay birine ilk günden aþkým sevgilim bitanem demek kusturucu bir durum',Positive
'arayan sevgilim di dediki bu aþk bitti biterse bitsin gülüm saldir Ankaragücüm.',Positive
'Bir gün Gidersen sevgilim, ki ben severek ayrýlýða inanmam gidebiliyorsan eðer hiç düþünme, git. Ýnan senin yerinde o…',Negative
'Farketmez sevgilim olsun 10 milyar borcum olsun',Positive
'anneme dondurmamdaki kalbi gösterdim,öyle bi bakýþ attý ki büyük ihtimal artýk beni sevgilim var ve evlenmeye izin istiycekmiþim gibi görüyo',Positive
'Olum benim sevgilim varmýþ benim haberim yok hemde 7 aydýr çýkýyormuþuz olaya bakar mýsýn bak ben 7 ay sonra öðreniyorum',Positive
'bizim hayatýmýz gezmekle geçiyo sevgilim napucuk ????',Positive
'Anneyi arayýp eski sevgilim bodruma gidiyor anneeaaðð diye aðlamak',Positive
'sevgilim bize gelmiþ ??????????????????',Positive
'kaç yaþýnda adamlarsýnýz lol oynuyosunuz bide ona para yatýrýyosunuz bilgisayardan kalktýðýnýz yok sonra benim niye sevgilim yok oluyo aq',Negative
'Kýsa yoldan para kazanmanýn yollarý burada',Negative
'Gizem Karaca antilerinin beyni gibiydin sevgilim,hiç olmadýn????',Negative
'Pazar sabahýnda kahvaltýya gidicek bi sevgilim yok.',Positive
'Akþama yine beþiktaþýn maçý varmýþ benim sevgilim maç baþladýðý an interneti falan kapatýp telefonu kuma gömüyor ya',Positive
'Burda harika keyfini çay molasý :-) sevgilim benim herþeyim ?????? (@ Kaynaklar Çýnaraltý Meydaný in Ýzmir)',Positive
'love mylife aþk huzur dünyam sevgilim goodday romance happy beautiful Sen yanýmda olunca…',Positive
'Sevgilim diye demiyorum hiç yoktur kendisi',Negative
'love mylife aþk huzur dünyam sevgilim goodday romance happy beautiful Sen yanýmda olunca…',Positive
'Böyle Sevgilim Olsun, On Milyar Borcum Olsun Diyeceðiniz Kadýn: Cara Delevingne',Negative
'Þimdi arkamdan konuþup millete kendini de acýndýrýrsýn, çocuk kalpli sevgilim',Positive
'Sevgilim olacak kiza sesleniyorum ; bana kas yap deme, göbeðini içine çekme ben göbekli halini seviyorum de.',Negative
'Adýný Sen Koy sevgilim...',Negative
'sevilmenin hakkýný onu sevmekle verdin ey sevgilim',Positive
'Þehrime gel sevgilim.. Yarýn çýk gel. Býrak her þeyi, bir bekleyenim var de gel. |Nazým Hikmet|',Negative
'Sevgilim iyi pazarlar ?',Negative
'sevgilim öldü galiba bi uyuyo bidaha kalkamýyo kýþ uykusuna yatýyo mübarek',Positive
'Sevgilim yok diye triplerdeyim biri teklif edince de kabul etmiyorum what the fuck?',Negative
'Sevgili öðrenciler iyi dersler - benim sevgilim yok derse girmiyim ozaman',Positive
'Yürüyüþ yolunda elinde papatyalarla bekleyen, benim sevgilim. Aynen benim. Kýskanmayýn caným',Negative
'Sevgili öðrenciler iyi dersler - benim sevgilim yok derse girmiyim ozaman',Positive
'Bi lafýyla hayal dünyasýnýn en güzel köþelerinde en güzel mutluluklarý yaþatan biricik sevgilim',Positive
'sevgilim öldü galiba bi uyuyo bidaha kalkamýyo kýþ uykusuna yatýyo mübarek',Positive
'Sevgilim diye demiyorum hiç yoktur kendisi',Negative
'DMden yazmayýn sevgilim var diyo, nispet yapar gibi. Terbiyesiz.',Positive
'Sen hic sensiz oldun mu Bunu bir de bana sor Sensizlige dayanmak Sevgilim nasil da zor Emel Sayýn - SEVGÝ BAÐLARI',Negative
'Yine de pisman degil Gonul sevdigi icin Bosa gecen yillara Sevgilim senin icin Emel Sayýn - SEVGÝ BAÐLARI',Negative
'Dün gönlümle dertlestik Agladik için için Bosa gecen yillara Sevgilim senin için Emel Sayýn - SEVGÝ BAÐLARI',Negative
'Sevgilim diye demiyorum, hiç yoktur kendisi.',Negative
'sevgilim olursa arkadaþlarýyla gece takýlabilir ben bunda bi sakýnca görmüyorum sonuçta ölüm Allahýn emri',Positive
'Atarlý giderli tivitlerimi eski sevgililerim alýnmasýn aq umrumda olsanýz biriniz hala sevgilim olurdu bye',Positive
'Böyle Sevgilim Olsun, On Milyar Borcum Olsun Diyeceðiniz Kadýn: Cara Delevingne',Negative
'Sevgilim kizlara bakinca ben',Negative
'Yarým saattir yorganla banane önce sen býrak diye ergenler gibi tartýþýyoruz yok yani sevgilim mi yorganým mi belli deðil salak mýdýr nedir',Positive
'Bugün sevgilim düðüne gitti biraz çapkýnlýk yapayým ??????',Positive
'Seviyorsan sevgilim yarýnlara býrakma',Positive
' sevgilim??',Negative
' sevgilim??',Negative
'Sevgilim diye demiyorum, hiç yoktur kendisi.',Negative
'Kuþlarý boþ ver sevgilim, papatya koysunlar yoluna.',Negative
'Sana her þeyimi versem de yetersiz kalacak sevgilim BestFandomCA2015 ELF',Positive
'Benim küçük sevgilim????',Negative
'Keþke Küçük Kalsaydýk En Azýndan Evcilik Oynarken Sevgilim Oluyordu.',Negative
'bi sevgilim bile yok :D',Positive
'Bir sevgilim olsa giderim balayýnaaa',Positive
'sana sövüyorum sevgilim',Positive
'Þimdi sevgilim var zannedeceksiniz ya umrumda deðil yok çünkü ???? bu tarihin anlamý özel sadece :)',Positive
'son 2 yýldýr hiç sevgilim yok, aþýk olduðum kadýn sayýsý 1 keþke bende sizler gibi her önüme geleni hayatýma sokabilsem',Positive
'Bende seni seviyorum sevgilim &lt;3',Positive
'Sevgilim diye demiyorum, hiç yoktur kendisi.',Negative
'Gülmek aðlamak yaþamak herþey senle güzel sevgilim gecmiþimdede gelecegimdede hep sen olacaksýn ??',Positive
'Sevgilim diye demiyorum, hiç yoktur kendisi.',Negative
' Sevgilim',Negative
'Düþünsenize sevgiliniz var ikizi de her ikisi de erkek ben þaþýrýdým ya hangisi benim sevgilim ýhsýos',Positive
'Sevgililik Þiiri Sevgilim sevgilim sevgilim Hergün onu severim Sevgilim sevgilim sevgilim Baþkasýna baksam kendimi döverim.…',Positive
'Sevgilim olsa gel buluþalým dese bu yaðmurda döverim ??',Negative
'Senin benimle zorun ne sevgilim asafsdg',Positive
'çok þükür dostlar benimde artýk bir sevgilim var :Dd',Positive
'Sevgilim diye demiyorum çok güzel bahaneler bulur',Negative
'Her hafta sonu sanki sevgilim varmýþ gibi hazýrlanýp aleynanýn yanýna gidiyorum??????',Positive
'En son gta vice cityde sevgilim olmuþtu. Onuda yanlýþlýkla ezmiþtim.',Positive
'Photo: Varlýðýna þükrettiðim insandan çok deðerli bir hediye teþekkür ederim sevgilim.. . ?????? (MUTLUYUM!!)',Negative
'Sevgilim yok baba anla gari',Negative
'Sevgilim diye demiyorum, hiç yoktur kendisi.',Negative
'Ýþte yeni sevgilim diye paylaþýlan fotoðraflarýn %60ý kedi, %30u köpek, %9u araba, %1i insan çýkýyor.',Negative
'Sevgilim diye demiyorum, hiç yoktur kendisi.',Negative
'Hadi ben tipsizim diye sevgilim yok size noluyo amk sizin niye sevgiliniz yok ?',Negative
'Sevgilim diye soylemiyorum kendisi cok yakisiklidir ????',Negative
'5 yillik sevgilim suriyeli cikti arkdslr',Positive
'sevgilim olunca genel tepkim idare eder ya gibi olucak diðer türlü kýskanýyosunuz aq fesatlarý sizi ama bundan önce iliþkimin olmasý lazým',Positive
'hayatýmla sevgilim arasýndaki benzerlik nedir? ikisi de yok :(',Positive
'Sevgilim diye demiyorum hiç yoktur kendisi',Negative
'Sevgilim diye demiyorum, hiç yoktur kendisi.',Negative
'11.30ta sabah bi uyandým telefonda 7 cevapsýz arama tabiki sevgilim deðil erkek kardeþimle babam aramýþ ????',Positive
'ESKÝ SEVGÝLÝM GÝZLÝ ESCORT OLMUÞ . TEKLÝF ETSEM ÝNDÝRÝM YAPAR MI ACEP.',Negative
'Ay sevgilim nasýl yakýsýklý olmuþ',Positive
'Seninle oturduðumuz yerler götümüze hasret sevgilim',Positive
'yýllar önce nerdeydin çok geciktik sevgilim',Positive
'Benim yasimda bir iki aylýk sevgilisi olanlar yüzük takiyo ulan benim sevgilim bana yüzük alsa salak misin sen nabiyon derim',Positive
'sevgilim diye demiyorum,hiç yoktur kendisi.',Positive
'Sevgilim yok cunku cok tipsizim aansn yasasinn cirkinlik jsbd',Negative
'Sevgilim diye demiyorum hiç yoktur kendisi.',Negative
'Seni çok özlüyorum sevgilim. Ýsmini söylemeyeli ne çok oldu...',Negative
'Sevgilim olsada kýçýný yastýk yapýp yatsam????????',Negative
'Sevgilim diye demiyorum, hiç yoktur kendisi.',Negative
'Gecenin bilmem kaçýnda yanýma gelen eski sevgilim, caným, hiç kimsem...',Negative
'Bi sevgilim olsun her saat omzunda kalýyým istiyorum ??',Positive
'Benim sevgilim baþka birine nasýl selam verir abi ? Vururum.',Positive
'Þehrime gel sevgilim.. Yarýn çýk gel. Býrak her þeyi, bir bekleyenim var de gel. |Nazým Hikmet|',Negative
'En son gta vice cityde sevgilim olmuþtu. Onuda yanlýþlýkla ezmiþtim.',Positive
'Sevgilim diye demiyorum, hiç yoktur kendisi.',Negative
'Sevgilim diye demiyorum, hiç yoktur kendisi.',Negative
